name,red,green,blue,alpha,id
mortar,225,150,120,255,917
motion detector,120,225,150,255,918
motorcycle,150,120,225,255,919
mouse,235,110,150,255,920
mousepad,150,235,110,255,921
mug,110,150,235,255,922
music album shelf,215,155,165,255,923
music equipment,165,215,155,255,924
music equipment stand,155,165,215,255,925
music player,245,140,160,255,926
napkin,160,245,140,255,927
napkins,140,160,245,255,928
newspaper,220,135,120,255,929
newspaper basket,120,220,135,255,930
niche,135,120,220,255,931
night lamp,230,160,150,255,932
nightstand,150,230,160,255,933
note,160,150,230,255,934
note board,240,130,160,255,935
notebook,160,240,130,255,936
notebooks,130,160,240,255,937
notes,225,140,135,255,938
object,135,225,140,255,939
objects,140,135,225,255,940
office chair,235,160,120,255,941
office table,120,235,160,255,942
office wall,160,120,235,255,943
oil lamp,215,125,145,255,944
ornament,145,215,125,255,945
ottoman,125,145,215,255,946
outlet,245,165,155,255,947
oven,155,245,165,255,948
oven and stove,165,155,245,255,949
oven vent,220,120,160,255,950
overhang,160,220,120,255,951
package,120,160,220,255,952
pad,230,135,155,255,953
painting,155,230,135,255,954
painting /otherroom,135,155,230,255,955
painting frame,240,150,140,255,956
painting roll,140,240,150,255,957
painting rolls,150,140,240,255,958
painting tray,225,155,125,255,959
pan,125,225,155,255,960
panel,155,125,225,255,961
panel screen,235,130,145,255,962
paneling,145,235,130,255,963
pantry,130,145,235,255,964
paper,215,150,155,255,965
paper holder,155,215,150,255,966
paper storage,150,155,215,255,967
paper towel,245,145,125,255,968
paper towel dispenser,125,245,145,255,969
paper towel holder,145,125,245,255,970
paper towels,220,155,145,255,971
papers,145,220,155,255,972
parapet,155,145,220,255,973
partial,230,145,135,255,974
partition,135,230,145,255,975
patio,145,135,230,255,976
patio chair,240,140,155,255,977
patio floor,155,240,140,255,978
pavement,140,155,240,255,979
payment terminal,225,130,155,255,980
pc tower,155,225,130,255,981
pedestal,130,155,225,255,982
pen,235,150,140,255,983
pen cup,140,235,150,255,984
pencil,150,140,235,255,985
pencil holder,215,140,160,255,986
pendant,160,215,140,255,987
perfume,140,160,215,255,988
pet bed,245,155,150,255,989
pet bowl,150,245,155,255,990
phone,155,150,245,255,991
photo,220,150,145,255,992
photo mount,145,220,150,255,993
photo stand,150,145,220,255,994
photos,230,155,160,255,995
piano,160,230,155,255,996
piano bench,155,160,230,255,997
piano stool,240,150,150,255,998
picture,191,191,181,255,999
picture frame,251,100,60,255,1000
pile of magazines,71,102,197,255,1001
pillar,98,6,187,255,1002
pillow,41,126,248,255,1003
ping pong table,1,161,194,255,1004
pipe,91,104,245,255,1005
pitcher,109,152,121,255,1006
pitchfork,30,91,174,255,1007
place mat,176,100,79,255,1008
plane,208,105,123,255,1009
plank,138,79,15,255,1010
planner,76,5,48,255,1011
plant,137,92,186,255,1012
plant ornament,171,89,16,255,1013
plastic bag,145,215,120,255,1014
plate,199,197,42,255,1015
plate of food,175,221,67,255,1016
plates,31,15,120,255,1017
platform,119,250,67,255,1018
platter,60,251,128,255,1019
playpen,89,52,168,255,1020
plenum box,1,121,237,255,1021
pliers,166,73,34,255,1022
plug,101,204,15,255,1023
plumbing,171,228,242,255,1024
plunger,181,91,165,255,1025
plush toy,52,190,141,255,1026
podium,11,97,23,255,1027
pole,133,161,234,255,1028
poles,219,66,164,255,1029
pool,230,174,207,255,1030
pool stick,42,208,243,255,1031
pool table,228,214,60,255,1032
porcelain,182,61,64,255,1033
post,174,146,115,255,1034
poster,202,70,62,255,1035
pot,179,158,209,255,1036
pot lid,245,161,99,255,1037
potty,176,239,206,255,1038
pouches,70,185,32,255,1039
pouffe,44,170,186,255,1040
powder soap,71,200,29,255,1041
power breaker box,78,201,188,255,1042
power strip,98,64,199,255,1043
press,245,155,86,255,1044
price tag,79,116,61,255,1045
printer,186,143,9,255,1046
product,31,117,217,255,1047
product box,130,11,104,255,1048
product boxes,216,82,174,255,1049
products,39,242,210,255,1050
projector,219,171,133,255,1051
projector screen,222,131,189,255,1052
prop,207,126,106,255,1053
pump,102,117,210,255,1054
punchbag,206,118,78,255,1055
puppet,198,171,245,255,1056
purse,138,148,2,255,1057
rack,21,216,44,255,1058
rack of weights,99,208,183,255,1059
rack with shoes,162,143,100,255,1060
radiator,10,187,2,255,1061
radio,1,39,171,255,1062
rafter,54,163,25,255,1063
rag,167,1,238,255,1064
ragdoll,174,141,131,255,1065
ragdoll cat,23,245,63,255,1066
rail,187,42,25,255,1067
railing,75,42,82,255,1068
range hood,243,252,188,255,1069
receipt printer,104,59,86,255,1070
receipt spike,149,192,45,255,1071
recessed cubby,94,186,22,255,1072
recessed shelving,57,21,246,255,1073
recessed wall,139,176,115,255,1074
recliner,159,203,231,255,1075
record player,224,112,143,255,1076
records,40,99,153,255,1077
recuperator,157,222,83,255,1078
recycle bin,211,138,214,255,1079
refrigerator,5,158,44,255,1080
refrigerator cabinet,3,203,164,255,1081
relief,80,219,79,255,1082
remote control,157,176,76,255,1083
rice cooker,94,2,32,255,1084
riser,67,135,201,255,1085
robe,104,41,71,255,1086
rock,216,239,64,255,1087
rocking chair,219,165,230,255,1088
rocking horse,187,120,195,255,1089
rod,198,168,131,255,1090
rods,150,149,33,255,1091
roll,43,86,59,255,1092
rolled carpet,43,89,10,255,1093
roof,49,18,205,255,1094
roomba,110,185,103,255,1095
rope,237,146,23,255,1096
round chair,37,34,218,255,1097
round cushion,45,220,240,255,1098
router,197,49,46,255,1099
row of theater chairs,11,150,202,255,1100
rug,163,160,61,255,1101
ruler,0,46,9,255,1102
safe,54,108,8,255,1103
salt and pepper,197,125,240,255,1104
salt and pepper grinder,100,254,129,255,1105
salver,90,123,160,255,1106
sandals,57,76,178,255,1107
saturator,97,77,70,255,1108
sauna,251,144,38,255,1109
sauna bowl,240,94,202,255,1110
sauna heat rocks,43,21,45,255,1111
sauna heater,88,88,238,255,1112
sauna oven,215,44,30,255,1113
sauna seat,6,215,235,255,1114
sauna support,32,139,189,255,1115
saw,34,93,180,255,1116
saxophone,217,189,67,255,1117
scale,233,36,234,255,1118
scanner,196,114,234,255,1119
scarf,31,190,245,255,1120
schedule,80,3,79,255,1121
sconce,141,58,180,255,1122
scoop,50,187,65,255,1123
screen,214,14,126,255,1124
screen frame,174,71,81,255,1125
screw box,163,213,136,255,1126
screwdriver,225,84,165,255,1127
sculpture,215,190,186,255,1128
seat,247,87,62,255,1129
secretary,57,198,215,255,1130
security camera,157,193,51,255,1131
security detector,121,110,12,255,1132
self-closing mechanism,134,214,111,255,1133
sensor,183,84,121,255,1134
separator,54,179,23,255,1135
set of armchairs,39,230,76,255,1136
set of cosmetics,223,156,190,255,1137
set of hangers,49,78,248,255,1138
set of knives,217,187,115,255,1139
set of towels,37,248,61,255,1140
set of valves,110,251,98,255,1141
sewing box,29,220,53,255,1142
sewing machine,230,28,65,255,1143
sewing set,100,54,252,255,1144
sewing tools,151,72,49,255,1145
shade,136,116,197,255,1146
shade rail,47,3,53,255,1147
shades,224,140,115,255,1148
shampoo,201,183,132,255,1149
sheet,194,31,104,255,1150
sheet music,163,66,201,255,1151
sheets / clothes,226,58,247,255,1152
shelf,19,93,225,255,1153
shelf / cabinet,114,68,164,255,1154
shelf clutter,213,118,14,255,1155
shelf cubby,233,151,251,255,1156
shelf with art,113,33,231,255,1157
shelf with clutter,240,118,30,255,1158
shelf with cosmetics,90,76,77,255,1159
shelf with shoes,172,137,9,255,1160
shelving,116,98,25,255,1161
ship model,217,200,131,255,1162
ship toy,135,197,84,255,1163
shirt,58,25,7,255,1164
shisha,201,29,119,255,1165
shoe,173,156,182,255,1166
shoe cabinet,241,127,224,255,1167
shoe case,96,81,47,255,1168
shoe rack,174,208,96,255,1169
shoe shelf,236,37,211,255,1170
shoes,98,112,26,255,1171
shoes on shelf,9,98,150,255,1172
shoes rack,130,68,68,255,1173
shop shelf,115,113,99,255,1174
shoulder bag,96,206,110,255,1175
shovel,11,198,29,255,1176
shower,114,174,33,255,1177
shower bar,227,44,35,255,1178
shower base,69,178,4,255,1179
shower battery,223,199,115,255,1180
shower bench,69,9,213,255,1181
shower cabin,115,110,16,255,1182
shower cabinet,80,246,195,255,1183
shower caddy,237,113,104,255,1184
shower case,108,33,236,255,1185
shower ceiling,106,231,226,255,1186
shower ceiling lamp,249,211,106,255,1187
shower cockpit,179,167,204,255,1188
shower cosmetics,224,178,19,255,1189
shower curtain,73,49,209,255,1190
shower curtain bar,115,175,85,255,1191
shower curtain rod,235,43,148,255,1192
shower dial,165,4,56,255,1193
shower door,144,66,239,255,1194
shower door frame,219,108,185,255,1195
shower door knob,169,137,79,255,1196
shower floor,60,27,107,255,1197
shower frame,40,66,51,255,1198
shower glass,15,88,105,255,1199
shower grab bar,239,219,102,255,1200
shower handle,223,109,24,255,1201
shower handrail,18,252,217,255,1202
shower hanger,176,238,73,255,1203
shower hose,29,110,97,255,1204
shower hose/head,228,135,55,255,1205
shower knob,93,165,109,255,1206
shower mat,132,148,87,255,1207
shower mirror,89,234,2,255,1208
shower pipe,192,247,11,255,1209
shower rail,156,204,225,255,1210
shower rod,78,116,246,255,1211
shower seat,65,131,15,255,1212
shower shelf,89,45,185,255,1213
shower soap shelf,190,190,93,255,1214
shower stall,114,154,68,255,1215
shower step,232,178,67,255,1216
shower tap,83,185,8,255,1217
shower tray,255,201,69,255,1218
shower tub,106,8,76,255,1219
shower utensil,116,136,22,255,1220
shower valve,249,210,159,255,1221
shower wall,149,105,35,255,1222
shower wall cubby,65,45,18,255,1223
shower window frame,156,184,29,255,1224
shower-bath cabinet,82,189,177,255,1225
showerhead,186,116,219,255,1226
shredder,96,25,43,255,1227
shutter,173,138,176,255,1228
shutters,74,79,96,255,1229
side table,206,25,244,255,1230
sideboard,114,37,4,255,1231
sign,218,226,149,255,1232
silicone gun,181,125,150,255,1233
silicone tube,79,203,249,255,1234
sink,240,186,146,255,1235
sink cabinet,92,2,94,255,1236
sink pipe,96,66,21,255,1237
sink table,83,228,142,255,1238
sink tap,174,33,114,255,1239
sink/basin,98,184,176,255,1240
sitting bench,22,200,150,255,1241
skateboard,160,153,25,255,1242
skirting board,119,27,166,255,1243
sky,51,138,68,255,1244
skylight,8,1,178,255,1245
slab,2,112,200,255,1246
sled,28,58,5,255,1247
sledge,91,38,0,255,1248
sleeping bag,80,168,27,255,1249
sliding door,0,176,3,255,1250
sliding glass door,236,2,69,255,1251
slippers,164,106,238,255,1252
small table/stand,96,166,97,255,1253
smoke alarm,80,37,45,255,1254
smoke detector,94,117,185,255,1255
snack,196,213,178,255,1256
soap,170,241,120,255,1257
soap bottle,215,159,147,255,1258
soap dish,180,183,114,255,1259
soap dish cubby,56,167,125,255,1260
soap dispenser,146,194,173,255,1261
soap dispenser shelf in shower,221,76,218,255,1262
soapbox,55,39,159,255,1263
socket,32,140,21,255,1264
socks,94,12,135,255,1265
sofa,18,190,176,255,1266
sofa chair,189,80,234,255,1267
sofa seat,48,164,249,255,1268
sofa set,150,201,219,255,1269
soft chair,240,117,233,255,1270
solarium,14,104,50,255,1271
solarium door,232,230,119,255,1272
sombrero,198,178,149,255,1273
soundbar,76,56,166,255,1274
spa armchair,96,224,5,255,1275
spa bathtub,174,94,250,255,1276
spa bench,231,177,127,255,1277
spatula,176,85,7,255,1278
speaker,88,184,170,255,1279
speaker stand,229,185,0,255,1280
spice rack,51,68,236,255,1281
spices,204,103,41,255,1282
spirit level,102,23,77,255,1283
sponge,206,77,99,255,1284
spoon,118,72,195,255,1285
spray,252,185,211,255,1286
spray can,92,84,100,255,1287
sprinkler,50,129,35,255,1288
square,123,4,243,255,1289
stack,33,59,25,255,1290
stack of albums,71,55,36,255,1291
stack of bags,125,1,113,255,1292
stack of binders,144,92,115,255,1293
stack of blankets,109,108,131,255,1294
stack of books,103,162,14,255,1295
stack of books / papers,67,76,29,255,1296
stack of boxes,219,19,188,255,1297
stack of cds,54,207,242,255,1298
stack of chairs,114,173,165,255,1299
stack of clothes,30,216,140,255,1300
stack of files,253,125,188,255,1301
stack of jackets,70,62,228,255,1302
stack of magazines,68,240,228,255,1303
stack of music stands,113,106,136,255,1304
stack of papers,89,8,76,255,1305
stack of pillows,16,176,65,255,1306
stack of plates,79,123,187,255,1307
stack of pots,131,244,27,255,1308
stack of product boxes,105,103,15,255,1309
stack of shoes,217,124,131,255,1310
stack of stuff,141,254,156,255,1311
stack of t-shirts,133,236,21,255,1312
stack of towels,236,188,213,255,1313
stack of trays,240,100,130,255,1314
stack of yarns,204,74,52,255,1315
stacked chair,23,141,159,255,1316
stage,52,127,74,255,1317
stained glass,37,171,231,255,1318
stair,218,15,142,255,1319
stair frame,54,221,247,255,1320
stair handle,228,231,118,255,1321
stair step,0,201,22,255,1322
stair wall,103,193,246,255,1323
staircase,49,84,22,255,1324
staircase handrail,122,23,167,255,1325
staircase trim,156,150,88,255,1326
staircase wall,100,76,241,255,1327
stairs,128,198,164,255,1328
stairs railing,231,76,58,255,1329
stairs skirt,248,88,79,255,1330
stairs trim,166,115,94,255,1331
stairs wall,119,52,244,255,1332
stairwell,50,185,74,255,1333
stand,214,39,25,255,1334
stand/small table,127,236,88,255,1335
stapler,177,1,226,255,1336
star,138,183,113,255,1337
stationery,228,61,12,255,1338
statue,233,157,67,255,1339
statue/art,86,19,99,255,1340
steel plate,8,157,112,255,1341
step,180,174,210,255,1342
step stool,11,143,147,255,1343
stereo,83,68,146,255,1344
stereo set,11,28,188,255,1345
stick,106,143,85,255,1346
sticker book,233,253,94,255,1347
sticky notes,169,91,147,255,1348
stone,65,194,145,255,1349
stone bench,35,229,42,255,1350
stone support structure,117,230,7,255,1351
stones,139,223,94,255,1352
stonework,142,235,249,255,1353
stool,72,136,190,255,1354
stools,226,123,135,255,1355
storage,247,21,193,255,1356
storage bin,198,194,58,255,1357
storage box,221,236,232,255,1358
storage cabinet,119,104,62,255,1359
storage shelving,229,48,90,255,1360
storage space,43,1,80,255,1361
storage unit,141,25,226,255,1362
stove,156,132,186,255,1363
stovetop,208,52,84,255,1364
strings,72,180,152,255,1365
strongbox,173,176,140,255,1366
stuffed animal,22,234,238,255,1367
subwoofer,135,193,222,255,1368
sunbed,118,24,248,255,1369
support,234,46,35,255,1370
support beam,134,114,111,255,1371
surface,15,6,243,255,1372
surfboard,2,162,45,255,1373
swing,226,82,30,255,1374
switch,150,182,84,255,1375
swivel chair,87,176,163,255,1376
t-shirt,248,67,128,255,1377
table,231,37,240,255,1378
table cloth,83,156,4,255,1379
table lamp,239,5,108,255,1380
table pad,143,159,179,255,1381
table stand,43,78,203,255,1382
table tennis table,105,200,215,255,1383
tablet,4,223,153,255,1384
tambourine,219,25,18,255,1385
tank,224,110,71,255,1386
tap,188,175,7,255,1387
tea set,227,45,13,255,1388
teapot,132,16,198,255,1389
telephone,72,93,244,255,1390
telescope,46,66,27,255,1391
tennis racket,43,230,50,255,1392
tent,254,163,162,255,1393
terrace,187,21,11,255,1394
thermometer,225,212,75,255,1395
thermostat,49,11,189,255,1396
three,170,204,18,255,1397
throw blanket,5,66,24,255,1398
tile,49,185,212,255,1399
tiles,9,74,141,255,1400
tire,177,180,100,255,1401
tissue,148,60,91,255,1402
tissue box,14,224,250,255,1403
title,176,117,190,255,1404
toaster,2,94,76,255,1405
toaster oven,239,58,10,255,1406
toilet,158,227,13,255,1407
toilet brush,226,231,210,255,1408
toilet brush holder,231,5,177,255,1409
toilet cleaner,156,167,79,255,1410
toilet paper,114,95,228,255,1411
toilet paper dispenser,60,57,185,255,1412
toilet seat,246,110,210,255,1413
toiletry,39,236,5,255,1414
toiletry bag,244,85,19,255,1415
tool,230,93,9,255,1416
tool box,106,181,16,255,1417
tool rack,108,200,140,255,1418
toothbrush,19,54,87,255,1419
toothpaste,128,209,76,255,1420
torch,90,68,162,255,1421
towel,155,110,74,255,1422
towel bar,146,181,218,255,1423
towel ring,117,53,46,255,1424
toy,225,88,97,255,1425
training mat,14,233,170,255,1426
trampoline,6,35,143,255,1427
trash bag,189,59,13,255,1428
trash can,71,69,36,255,1429
trashcan,187,206,178,255,1430
tray,249,93,113,255,1431
treadmill,73,222,45,255,1432
tree,97,7,193,255,1433
tree branch,68,110,175,255,1434
trinket,85,147,33,255,1435
tripod,145,203,102,255,1436
trolley,20,87,170,255,1437
trombone,217,244,215,255,1438
trophy,3,161,152,255,1439
trough,148,108,171,255,1440
trumpet,161,1,154,255,1441
tv,30,112,88,255,1442
tv remote,62,194,61,255,1443
tv stand,231,24,195,255,1444
typewriter,131,253,188,255,1445
ukulele,149,78,87,255,1446
umbrella,80,243,50,255,1447
umbrella stand,181,222,233,255,1448
unknown,192,42,56,255,1449
unknown/remove,200,42,114,255,1450
urinal,20,254,51,255,1451
utensil,180,49,117,255,1452
vacuum cleaner,13,220,241,255,1453
vanity,170,26,161,255,1454
vase,192,82,206,255,1455
vegetables,20,220,89,255,1456
vent,109,231,5,255,1457
ventilation,181,123,50,255,1458
ventilation hood,181,126,252,255,1459
vessel,221,64,143,255,1460
vinyl records,14,119,47,255,1461
violin,99,49,183,255,1462
violin case,158,61,38,255,1463
waffle iron,70,66,231,255,1464
wall,132,234,101,255,1465
wall /outside,205,186,157,255,1466
wall beam,0,190,109,255,1467
wall board,47,35,124,255,1468
wall cabinet,232,71,214,255,1469
wall clock,192,91,182,255,1470
wall control,81,152,175,255,1471
wall cubby,119,60,90,255,1472
wall detail,109,159,252,255,1473
wall electronics,193,54,154,255,1474
wall hanger,193,162,89,255,1475
wall hanging decoration,46,50,150,255,1476
wall indent,143,116,168,255,1477
wall lamp,87,21,118,255,1478
wall outside,48,144,37,255,1479
wall panel,182,90,144,255,1480
wall panel frame,10,10,185,255,1481
wall post,26,133,251,255,1482
wall shelf,174,36,148,255,1483
wall sign,182,227,202,255,1484
wall soap shelf,65,162,221,255,1485
wall statue,212,181,158,255,1486
wall toilet paper,59,57,213,255,1487
wall top,204,165,190,255,1488
wall tv,58,107,92,255,1489
wardrobe,236,254,232,255,1490
wash cabinet,97,182,153,255,1491
washbasin,131,96,156,255,1492
washbasin counter,26,158,126,255,1493
washcloth,44,103,233,255,1494
washer-dryer,99,186,13,255,1495
washing machine,250,86,209,255,1496
washing machine and dryer,175,42,19,255,1497
washing powder,20,96,141,255,1498
washing stuff,123,37,239,255,1499
watch,2,76,106,255,1500
water dispenser,183,106,16,255,1501
water fountain,143,67,57,255,1502
water heater,113,149,128,255,1503
water meter,130,31,135,255,1504
water outlet,165,44,53,255,1505
water pump,5,230,231,255,1506
water tank,241,66,148,255,1507
watering can,251,106,72,255,1508
weight,237,249,207,255,1509
weight bench,255,206,38,255,1510
weights,25,188,33,255,1511
wheel,184,36,12,255,1512
whine shelf,161,101,132,255,1513
whiteboard,115,250,50,255,1514
wifi router,38,56,121,255,1515
window,123,13,71,255,1516
window /otherroom,134,57,201,255,1517
window /outside,78,219,78,255,1518
window curtain,170,3,34,255,1519
window frame,52,253,107,255,1520
window frame /otherroom,78,103,77,255,1521
window glass,246,16,86,255,1522
window seat,183,31,67,255,1523
window shade,154,155,18,255,1524
window shutter,129,39,95,255,1525
window shutters,6,155,6,255,1526
window valence,71,167,244,255,1527
window/door,121,244,96,255,1528
wine,76,205,24,255,1529
wine bottle,250,52,29,255,1530
wine cabinet,195,222,121,255,1531
wine rack,245,70,64,255,1532
wine storage,41,55,27,255,1533
wire,199,68,73,255,1534
wood,145,205,210,255,1535
workout bike,208,26,7,255,1536
workstation,81,147,78,255,1537
worktop,214,243,161,255,1538
wreath,40,206,128,255,1539
wrench,120,4,190,255,1540
yoga mat,47,14,254,255,1541
